Date,Store ID,Product ID,Actual_Demand,Sales_Qty,Missed_Qty,Ordered_Qty,Inventory_Level,Revenue,COGS,Cash_Purchase,OpEx_Holding,OpEx_Order,Cost_Stockout,Daily_Net_Profit
2023-10-31,S001,P0001,66,66.0,0.0,0,210.7230538922156,4386.6900000000005,3070.683,0.0,6.715065372508407,0.0,0.0,4379.974934627492
2023-11-01,S001,P0001,99,99.0,0.0,92,111.7230538922156,6580.035000000001,4606.0245,4280.3460000000005,3.5602540711385453,80.0,0.0,2216.1287459288615
2023-11-02,S001,P0001,128,111.7230538922156,16.276946107784397,92,0.0,7425.67277694611,5197.970943862277,4280.3460000000005,0.0,80.0,973.6625007485011,2091.664276197609
2023-11-03,S001,P0001,137,92.0,45.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,2691.8325000000004,-937.3985000000002
2023-11-04,S001,P0001,120,92.0,28.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,1674.9180000000001,79.51599999999962
2023-11-05,S001,P0001,105,92.0,13.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,777.6405000000001,976.7934999999998
2023-11-06,S001,P0001,97,92.0,5.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,299.09250000000003,1455.3415000000005
2023-11-07,S001,P0001,99,92.0,7.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,418.72950000000003,1335.7044999999998
2023-11-08,S001,P0001,144,92.0,52.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,3110.5620000000004,-1356.1280000000006
2023-11-09,S001,P0001,117,92.0,25.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,1495.4625,258.97149999999965
2023-11-10,S001,P0001,77,77.0,0.0,92,15.0,5117.805,3582.4635000000003,4280.3460000000005,0.47800171232876704,80.0,0.0,756.9809982876714
2023-11-11,S001,P0001,91,91.0,0.0,92,16.0,6048.3150000000005,4233.8205,4280.3460000000005,0.5098684931506848,80.0,0.0,1687.4591315068492
2023-11-12,S001,P0001,95,95.0,0.0,92,13.0,6314.175,4419.9225,4280.3460000000005,0.41426815068493145,80.0,0.0,1953.414731849315
2023-11-13,S001,P0001,35,35.0,0.0,92,70.0,2326.275,1628.3925,4280.3460000000005,2.230674657534246,80.0,0.0,-2036.3016746575345
2023-11-14,S001,P0001,122,122.0,0.0,46,40.0,8108.7300000000005,5676.111,2140.1730000000002,1.274671232876712,80.0,0.0,5887.2823287671235
2023-11-15,S001,P0001,90,90.0,0.0,92,42.0,5981.85,4187.295,4280.3460000000005,1.3384047945205477,80.0,0.0,1620.1655952054798
2023-11-16,S001,P0001,164,88.0,76.0,92,0.0,5848.92,4094.244,4280.3460000000005,0.0,80.0,4546.206,-3057.6319999999996
2023-11-17,S001,P0001,102,92.0,10.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,598.1850000000001,1156.2489999999998
2023-11-18,S001,P0001,106,92.0,14.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,837.4590000000001,916.9750000000004
2023-11-19,S001,P0001,127,92.0,35.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,2093.6475,-339.21349999999984
2023-11-20,S001,P0001,132,92.0,40.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,2392.7400000000002,-638.3060000000005
2023-11-21,S001,P0001,56,56.0,0.0,92,36.0,3722.04,2605.428,4280.3460000000005,1.1472041095890408,80.0,0.0,-639.4532041095899
2023-11-22,S001,P0001,100,100.0,0.0,92,28.0,6646.5,4652.55,4280.3460000000005,0.8922698630136985,80.0,0.0,2285.2617301369855
2023-11-23,S001,P0001,71,71.0,0.0,92,49.0,4719.015,3303.3105,4280.3460000000005,1.5614722602739723,80.0,0.0,357.1075277397258
2023-11-24,S001,P0001,56,56.0,0.0,92,85.0,3722.04,2605.428,4280.3460000000005,2.708676369863013,80.0,0.0,-641.0146763698631
2023-11-25,S001,P0001,107,107.0,0.0,0,70.0,7111.755,4978.2285,0.0,2.230674657534246,0.0,0.0,7109.524325342466
2023-11-26,S001,P0001,148,148.0,0.0,184,14.0,9836.82,6885.774,8560.692000000001,0.44613493150684924,80.0,0.0,1195.6818650684927
2023-11-27,S001,P0001,88,14.0,74.0,92,0.0,930.51,651.357,4280.3460000000005,0.0,80.0,4426.569,-7856.405000000001
2023-11-28,S001,P0001,139,139.0,0.0,0,45.0,9238.635,6467.0445,0.0,1.4340051369863012,0.0,0.0,9237.200994863015
2023-11-29,S001,P0001,148,137.0,11.0,184,0.0,9105.705,6373.9935000000005,8560.692000000001,0.0,80.0,658.0035,-192.9905000000017
2023-11-30,S001,P0001,99,0.0,99.0,92,0.0,0.0,0.0,4280.3460000000005,0.0,80.0,5922.031500000001,-10282.377500000002
2023-12-01,S001,P0001,109,109.0,0.0,0,75.0,7244.685,5071.279500000001,0.0,2.3900085616438353,0.0,0.0,7242.294991438356
2023-12-02,S001,P0001,160,160.0,0.0,92,7.0,10634.400000000001,7444.08,4280.3460000000005,0.22306746575342462,80.0,0.0,6273.830932534248
2023-12-03,S001,P0001,119,7.0,112.0,138,0.0,465.255,325.6785,6420.519,0.0,80.0,6699.6720000000005,-12734.936000000002
2023-12-04,S001,P0001,73,73.0,0.0,92,19.0,4851.945000000001,3396.3615,4280.3460000000005,0.6054688356164383,80.0,0.0,490.99353116438397
2023-12-05,S001,P0001,24,24.0,0.0,46,133.0,1595.16,1116.612,2140.1730000000002,4.238281849315068,80.0,0.0,-629.2512818493153
2023-12-06,S001,P0001,142,142.0,0.0,0,83.0,9438.03,6606.621,0.0,2.6449428082191777,0.0,0.0,9435.385057191781
2023-12-07,S001,P0001,131,129.0,2.0,138,0.0,8573.985,6001.7895,6420.519,0.0,80.0,119.63700000000001,1953.8290000000006
2023-12-08,S001,P0001,147,0.0,147.0,184,0.0,0.0,0.0,8560.692000000001,0.0,80.0,8793.319500000001,-17434.0115
2023-12-09,S001,P0001,99,99.0,0.0,0,39.0,6580.035000000001,4606.0245,0.0,1.2428044520547943,0.0,0.0,6578.792195547946
2023-12-10,S001,P0001,127,127.0,0.0,92,96.0,8441.055,5908.7385,4280.3460000000005,3.059210958904109,80.0,0.0,4077.6497890410956
2023-12-11,S001,P0001,67,67.0,0.0,92,29.0,4453.155000000001,3117.2085,4280.3460000000005,0.9241366438356162,80.0,0.0,91.88486335616471
2023-12-12,S001,P0001,161,121.0,40.0,92,0.0,8042.265,5629.5855,4280.3460000000005,0.0,80.0,2392.7400000000002,1289.1789999999992
2023-12-13,S001,P0001,40,40.0,0.0,92,52.0,2658.6000000000004,1861.02,4280.3460000000005,1.6570726027397258,80.0,0.0,-1703.4030726027395
2023-12-14,S001,P0001,75,75.0,0.0,92,69.0,4984.875,3489.4125,4280.3460000000005,2.1988078767123285,80.0,0.0,622.3301921232869
2023-12-15,S001,P0001,69,69.0,0.0,46,92.0,4586.085,3210.2595,2140.1730000000002,2.931743835616438,80.0,0.0,2362.9802561643833
2023-12-16,S001,P0001,70,70.0,0.0,92,114.0,4652.55,3256.785,4280.3460000000005,3.6328130136986294,80.0,0.0,288.57118698630075
2023-12-17,S001,P0001,36,36.0,0.0,46,124.0,2392.7400000000002,1674.9180000000001,2140.1730000000002,3.9514808219178073,80.0,0.0,168.6155191780822
2023-12-18,S001,P0001,109,109.0,0.0,0,107.0,7244.685,5071.279500000001,0.0,3.409745547945205,0.0,0.0,7241.275254452055
2023-12-19,S001,P0001,118,118.0,0.0,184,35.0,7842.870000000001,5490.009,8560.692000000001,1.115337328767123,80.0,0.0,-798.9373373287672
2023-12-20,S001,P0001,104,35.0,69.0,92,0.0,2326.275,1628.3925,4280.3460000000005,0.0,80.0,4127.476500000001,-6161.547500000002
2023-12-21,S001,P0001,136,136.0,0.0,0,48.0,9039.24,6327.468,0.0,1.5296054794520546,0.0,0.0,9037.710394520547
2023-12-22,S001,P0001,64,64.0,0.0,184,76.0,4253.76,2977.632,8560.692000000001,2.421875342465753,80.0,0.0,-4389.353875342467
2023-12-23,S001,P0001,89,76.0,13.0,0,0.0,5051.34,3535.938,0.0,0.0,0.0,777.6405000000001,4273.6995
2023-12-24,S001,P0001,147,147.0,0.0,92,37.0,9770.355000000001,6839.2485,4280.3460000000005,1.1790708904109586,80.0,0.0,5408.82992910959
2023-12-25,S001,P0001,72,37.0,35.0,138,0.0,2459.205,1721.4435,6420.519,0.0,80.0,2093.6475,-6134.961499999999
2023-12-26,S001,P0001,132,92.0,40.0,92,0.0,6114.780000000001,4280.3460000000005,4280.3460000000005,0.0,80.0,2392.7400000000002,-638.3060000000005
2023-12-27,S001,P0001,51,51.0,0.0,92,87.0,3389.715,2372.8005,4280.3460000000005,2.7724099315068487,80.0,0.0,-973.4034099315068
2023-12-28,S001,P0001,73,73.0,0.0,0,106.0,4851.945000000001,3396.3615,0.0,3.377878767123287,0.0,0.0,4848.567121232877
2023-12-29,S001,P0001,90,90.0,0.0,92,108.0,5981.85,4187.295,4280.3460000000005,3.4416123287671225,80.0,0.0,1618.0623876712325
2023-12-30,S001,P0001,54,54.0,0.0,92,54.0,3589.11,2512.377,4280.3460000000005,1.7208061643835613,80.0,0.0,-772.9568061643836
