Date,Store ID,Product ID,Demand,Sales_Qty,Missed_Qty,Ordered_Qty,Inventory_Level,Revenue,COGS,Cash_Purchase,OpEx_Holding,OpEx_Order,Cost_Stockout,Daily_Net_Profit,Seasonality,Promotion
2023-10-31,S001,P0001,66,66.0,0.0,47,210.7230538922156,4386.6900000000005,3070.683,2186.6985,6.715065372508407,80.0,0.0,2113.276434627492,Autumn,0
2023-11-01,S001,P0001,99,99.0,0.0,93,111.7230538922156,6580.035000000001,4606.0245,4326.8715,3.5602540711385453,80.0,0.0,2169.6032459288617,Autumn,1
2023-11-02,S001,P0001,128,128.0,0.0,0,30.723053892215603,8507.52,5955.264,0.0,0.9790448245632033,0.0,0.0,8506.540955175436,Autumn,0
2023-11-03,S001,P0001,137,123.7230538922156,13.276946107784397,139,0.0,8223.25277694611,5756.276943862277,6467.0445,0.0,80.0,794.2070007485011,882.0012761976095,Autumn,1
2023-11-04,S001,P0001,120,0.0,120.0,139,0.0,0.0,0.0,6467.0445,0.0,80.0,7178.220000000001,-13725.264500000001,Autumn,0
2023-11-05,S001,P0001,105,105.0,0.0,47,34.0,6978.825000000001,4885.1775,2186.6985,1.0834705479452054,80.0,0.0,4711.043029452056,Autumn,0
2023-11-06,S001,P0001,97,97.0,0.0,0,76.0,6447.1050000000005,4512.9735,0.0,2.421875342465753,0.0,0.0,6444.683124657535,Autumn,0
2023-11-07,S001,P0001,99,99.0,0.0,139,24.0,6580.035000000001,4606.0245,6467.0445,0.7648027397260273,80.0,0.0,32.2256972602745,Autumn,1
2023-11-08,S001,P0001,144,24.0,120.0,47,0.0,1595.16,1116.612,2186.6985,0.0,80.0,7178.220000000001,-7849.758500000002,Autumn,1
2023-11-09,S001,P0001,117,117.0,0.0,139,22.0,7776.405000000001,5443.4835,6467.0445,0.7010691780821916,80.0,0.0,1228.6594308219182,Autumn,0
2023-11-10,S001,P0001,77,69.0,8.0,0,0.0,4586.085,3210.2595,0.0,0.0,0.0,478.54800000000006,4107.537,Autumn,0
2023-11-11,S001,P0001,91,91.0,0.0,139,48.0,6048.3150000000005,4233.8205,6467.0445,1.5296054794520546,80.0,0.0,-500.25910547945114,Autumn,0
2023-11-12,S001,P0001,95,48.0,47.0,185,0.0,3190.32,2233.224,8607.2175,0.0,80.0,2811.4695,-8308.367000000002,Autumn,1
2023-11-13,S001,P0001,35,35.0,0.0,47,104.0,2326.275,1628.3925,2186.6985,3.3141452054794516,80.0,0.0,56.26235479452089,Autumn,1
2023-11-14,S001,P0001,122,122.0,0.0,47,167.0,8108.7300000000005,5676.111,2186.6985,5.321752397260273,80.0,0.0,5836.70974760274,Autumn,0
2023-11-15,S001,P0001,90,90.0,0.0,47,124.0,5981.85,4187.295,2186.6985,3.9514808219178073,80.0,0.0,3711.2000191780826,Autumn,0
2023-11-16,S001,P0001,164,164.0,0.0,0,7.0,10900.26,7630.182,0.0,0.22306746575342462,0.0,0.0,10900.036932534247,Autumn,1
2023-11-17,S001,P0001,102,54.0,48.0,185,0.0,3589.11,2512.377,8607.2175,0.0,80.0,2871.2880000000005,-7969.3955000000005,Autumn,0
2023-11-18,S001,P0001,106,0.0,106.0,185,0.0,0.0,0.0,8607.2175,0.0,80.0,6340.761,-15027.978500000001,Autumn,1
2023-11-19,S001,P0001,127,127.0,0.0,47,58.0,8441.055,5908.7385,2186.6985,1.8482732876712324,80.0,0.0,6172.508226712329,Autumn,0
2023-11-20,S001,P0001,132,132.0,0.0,47,111.0,8773.380000000001,6141.366,2186.6985,3.537212671232876,80.0,0.0,6503.144287328769,Autumn,1
2023-11-21,S001,P0001,56,56.0,0.0,0,102.0,3722.04,2605.428,0.0,3.2504116438356156,0.0,0.0,3718.789588356164,Autumn,0
2023-11-22,S001,P0001,100,100.0,0.0,139,49.0,6646.5,4652.55,6467.0445,1.5614722602739723,80.0,0.0,97.89402773972597,Autumn,0
2023-11-23,S001,P0001,71,49.0,22.0,139,0.0,3256.7850000000003,2279.7495,6467.0445,0.0,80.0,1316.007,-4606.2665,Autumn,0
2023-11-24,S001,P0001,56,56.0,0.0,47,83.0,3722.04,2605.428,2186.6985,2.6449428082191777,80.0,0.0,1452.6965571917808,Autumn,0
2023-11-25,S001,P0001,107,107.0,0.0,47,115.0,7111.755,4978.2285,2186.6985,3.664679794520547,80.0,0.0,4841.391820205479,Autumn,0
2023-11-26,S001,P0001,148,148.0,0.0,0,14.0,9836.82,6885.774,0.0,0.44613493150684924,0.0,0.0,9836.373865068494,Autumn,1
2023-11-27,S001,P0001,88,61.0,27.0,185,0.0,4054.3650000000002,2838.0555,8607.2175,0.0,80.0,1615.0995000000003,-6247.952000000001,Autumn,0
2023-11-28,S001,P0001,139,0.0,139.0,139,0.0,0.0,0.0,6467.0445,0.0,80.0,8314.7715,-14861.816,Autumn,0
2023-11-29,S001,P0001,148,148.0,0.0,47,37.0,9836.82,6885.774,2186.6985,1.1790708904109586,80.0,0.0,7568.942429109589,Autumn,0
2023-11-30,S001,P0001,99,99.0,0.0,93,77.0,6580.035000000001,4606.0245,4326.8715,2.453742123287671,80.0,0.0,2170.7097578767125,Autumn,0
2023-12-01,S001,P0001,109,109.0,0.0,0,15.0,7244.685,5071.279500000001,0.0,0.47800171232876704,0.0,0.0,7244.206998287672,Winter,0
2023-12-02,S001,P0001,160,108.0,52.0,185,0.0,7178.22,5024.754,8607.2175,0.0,80.0,3110.5620000000004,-4619.5595,Winter,1
2023-12-03,S001,P0001,119,0.0,119.0,139,0.0,0.0,0.0,6467.0445,0.0,80.0,7118.401500000001,-13665.446,Winter,0
2023-12-04,S001,P0001,73,73.0,0.0,93,112.0,4851.945000000001,3396.3615,4326.8715,3.569079452054794,80.0,0.0,441.5044205479453,Winter,1
2023-12-05,S001,P0001,24,24.0,0.0,47,227.0,1595.16,1116.612,2186.6985,7.233759246575341,80.0,0.0,-678.772259246575,Winter,0
2023-12-06,S001,P0001,142,142.0,0.0,47,178.0,9438.03,6606.621,2186.6985,5.672286986301369,80.0,0.0,7165.6592130137,Winter,0
2023-12-07,S001,P0001,131,131.0,0.0,47,94.0,8706.915,6094.8405,2186.6985,2.9954773972602733,80.0,0.0,6437.22102260274,Winter,0
2023-12-08,S001,P0001,147,141.0,6.0,139,0.0,9371.565,6560.0955,6467.0445,0.0,80.0,358.91100000000006,2465.6095000000005,Winter,1
2023-12-09,S001,P0001,99,47.0,52.0,139,0.0,3123.855,2186.6985,6467.0445,0.0,80.0,3110.5620000000004,-6533.7515,Winter,0
2023-12-10,S001,P0001,127,127.0,0.0,93,12.0,8441.055,5908.7385,4326.8715,0.38240136986301365,80.0,0.0,4033.801098630137,Winter,1
2023-12-11,S001,P0001,67,67.0,0.0,0,84.0,4453.155000000001,3117.2085,0.0,2.6768095890410954,0.0,0.0,4450.4781904109595,Winter,0
2023-12-12,S001,P0001,161,161.0,0.0,47,16.0,10700.865,7490.605500000001,2186.6985,0.5098684931506848,80.0,0.0,8433.656631506848,Winter,1
2023-12-13,S001,P0001,40,16.0,24.0,185,0.0,1063.44,744.408,8607.2175,0.0,80.0,1435.6440000000002,-9059.4215,Winter,0
2023-12-14,S001,P0001,75,47.0,28.0,185,0.0,3123.855,2186.6985,8607.2175,0.0,80.0,1674.9180000000001,-7238.280500000001,Winter,0
2023-12-15,S001,P0001,69,69.0,0.0,93,116.0,4586.085,3210.2595,4326.8715,3.696546575342465,80.0,0.0,175.516953424657,Winter,1
2023-12-16,S001,P0001,70,70.0,0.0,47,231.0,4652.55,3256.785,2186.6985,7.3612263698630125,80.0,0.0,2378.4902736301374,Winter,0
2023-12-17,S001,P0001,36,36.0,0.0,47,288.0,2392.7400000000002,1674.9180000000001,2186.6985,9.177632876712327,80.0,0.0,116.86386712328795,Winter,0
2023-12-18,S001,P0001,109,109.0,0.0,47,226.0,7244.685,5071.279500000001,2186.6985,7.201892465753423,80.0,0.0,4970.784607534247,Winter,0
2023-12-19,S001,P0001,118,118.0,0.0,47,155.0,7842.870000000001,5490.009,2186.6985,4.939351027397259,80.0,0.0,5571.232148972604,Winter,0
2023-12-20,S001,P0001,104,104.0,0.0,0,98.0,6912.360000000001,4838.652,0.0,3.1229445205479447,0.0,0.0,6909.2370554794525,Winter,0
2023-12-21,S001,P0001,136,136.0,0.0,185,9.0,9039.24,6327.468,8607.2175,0.2868010273972602,80.0,0.0,351.7356989726013,Winter,0
2023-12-22,S001,P0001,64,9.0,55.0,139,0.0,598.1850000000001,418.72950000000003,6467.0445,0.0,80.0,3290.0175000000004,-9238.877,Winter,0
2023-12-23,S001,P0001,89,89.0,0.0,47,96.0,5915.385,4140.7695,2186.6985,3.059210958904109,80.0,0.0,3645.627289041096,Winter,0
2023-12-24,S001,P0001,147,147.0,0.0,93,88.0,9770.355000000001,6839.2485,4326.8715,2.8042767123287664,80.0,0.0,5360.679223287672,Winter,1
2023-12-25,S001,P0001,72,72.0,0.0,93,63.0,4785.4800000000005,3349.8360000000002,4326.8715,2.0076071917808216,80.0,0.0,376.6008928082192,Winter,1
2023-12-26,S001,P0001,132,132.0,0.0,0,24.0,8773.380000000001,6141.366,0.0,0.7648027397260273,0.0,0.0,8772.615197260275,Winter,1
2023-12-27,S001,P0001,51,51.0,0.0,185,66.0,3389.715,2372.8005,8607.2175,2.103207534246575,80.0,0.0,-5299.605707534247,Winter,1
2023-12-28,S001,P0001,73,66.0,7.0,0,0.0,4386.6900000000005,3070.683,0.0,0.0,0.0,418.72950000000003,3967.9605000000006,Winter,0
2023-12-29,S001,P0001,90,90.0,0.0,139,95.0,5981.85,4187.295,6467.0445,3.027344178082191,80.0,0.0,-568.2218441780815,Winter,0
2023-12-30,S001,P0001,54,54.0,0.0,185,41.0,3589.11,2512.377,8607.2175,1.30653801369863,80.0,0.0,-5099.4140380137,Winter,0
2023-12-31,S001,P0001,60,60.0,0.0,47,120.0,3987.9,2791.53,2186.6985,3.8240136986301363,80.0,0.0,1717.37748630137,Winter,0
2024-01-01,S001,P0001,62,62.0,0.0,47,243.0,4120.83,2884.581,2186.6985,7.743627739726026,80.0,0.0,1846.387872260274,Winter,0
