Store ID,Product ID,Total_Days,Total_Demand,Total_Sales,Total_Revenue,Total_COGS,Total_Purchase_Spend,Total_Holding_Cost,Total_Order_Fixed_Cost,Total_Stockout_Penalty,Total_Net_Profit,Avg_Inventory,Gross_Profit,Gross_Margin_%,ROI_%,Service_Level_%
S001,P0001,92,8922,8359.794170608695,557013.09,388943.60368465487,377907.48674377654,872.2782404938715,880.0,33630.309405443746,143723.01,297.5288051762761,168069.48190300254,30.17,37.86,93.7
S001,P0002,92,10796,10663.83918226087,702107.17,499350.2654681386,483414.69498988055,562.5586108006129,760.0,7956.808112393227,209413.11,190.65188648960296,202756.90629191708,28.88,43.2,98.78
S001,P0003,92,12188,11946.276438608695,678010.92,460391.5745293212,445075.034159756,539.8945025856597,720.0,11977.281605158443,219698.71,222.32030357419657,217619.3447439152,32.1,49.22,98.02
S001,P0004,92,8847,8663.107419434782,879781.87,606932.9742518911,587851.80847498,1039.3503279593965,1040.0,16564.400033282807,273286.32,235.42899697069942,272848.8997288082,31.01,46.33,97.92
S001,P0005,92,10610,10250.076871869565,605215.79,422467.168350976,408207.328350976,605.6488353934012,750.0,19073.046405887995,176579.77,233.19545060444233,182748.62054856244,30.2,43.11,96.61
S001,P0006,92,7942,7562.978260869565,282401.61,199984.0526630435,194680.67209673254,442.49622533541276,550.0,12885.791576086962,73842.65,265.56576369139896,82417.55559782608,29.18,37.74,95.23
S001,P0007,92,10376,9797.837124086956,231277.95,167209.888359668,161548.487328634,377.06509853340106,500.0,12686.049823284005,56166.34,350.63044488327034,64068.05695440463,27.7,34.58,94.43
S001,P0008,92,8797,8037.858695652174,342935.24,234737.62534782608,227278.870081032,691.0631524982064,640.0,28504.237695652177,85821.07,375.52635830387527,108197.61590217389,31.55,37.54,91.37
S001,P0009,92,12862,12862.0,1200410.46,804363.7559999999,790470.9296691479,1524.8449080341313,920.0,0.0,407494.69,386.9427502391303,396046.70400000026,32.99,51.39,100.0
S001,P0010,92,7161,7061.067415565218,859331.9,585072.9849863183,568469.9910946139,771.0731432097905,900.0,10646.1180175907,278544.72,147.67973947967866,274258.91948796867,31.92,48.86,98.6
S001,P0011,92,6902,6793.446976391304,1033928.66,717306.479343205,694429.791140988,881.9889047185576,900.0,14736.724273022091,322980.16,132.56033303449908,316622.1832286696,30.62,46.39,98.43
S001,P0012,92,10673,10513.847062695651,875540.61,603126.836751536,583964.18179638,734.7849711257641,900.0,11738.324890882188,278203.32,203.27234411294893,272413.77739444445,31.11,47.51,98.51
S001,P0013,92,7957,7425.7319323043475,228378.39,159163.13823701142,153662.693623152,399.689330751074,450.0,14640.68540955678,59225.32,295.9268405827033,69215.24734100883,30.31,38.33,93.32
S001,P0014,92,10107,9821.576086956522,688885.35,496760.58611413033,480917.7704085635,693.0440951785029,800.0,18560.974353260874,187913.56,217.45026971862006,192124.7606250001,27.89,38.95,97.18
S001,P0015,92,8353,7639.815308782609,114138.84,79656.53431702187,76816.559713761,295.32085917433176,300.0,9560.597378114744,27166.36,449.4905898166351,34482.306396190295,30.21,35.09,91.46
S001,P0016,92,10637,10324.264658652173,393251.24,277227.1546141281,267913.304918476,486.6122459986384,650.0,10796.87492469235,113404.45,287.5884393511342,116024.08623393322,29.5,42.15,97.06
S001,P0017,92,8485,7829.934091608696,163841.37,115346.67407053351,111561.09272295752,358.46389383781445,350.0,12407.275837885503,39164.54,386.15661279158786,48494.69679637844,29.6,34.88,92.28
S001,P0018,92,10414,10095.25109352174,595821.72,422551.87739599263,408504.513804674,571.9354699023635,800.0,17153.631776580856,168791.64,216.84486853308132,173269.8421436604,29.08,41.18,96.94
S001,P0019,92,6927,6732.9188887826085,711130.89,492630.8427950015,477501.87066839775,672.2828632534589,800.0,18257.695334998047,213899.04,145.81387559962192,218500.05023821763,30.73,44.66,97.2
S001,P0020,92,6385,6211.827208739131,682835.11,481876.2838907292,469233.1986872039,702.2601354957756,850.0,17271.90785477662,194777.74,143.66363755671074,200958.8220299197,29.43,41.37,97.29
S002,P0001,92,10659,10397.837628956522,823144.82,587264.6703646498,568258.5854567159,692.8634169987866,900.0,18964.697316878744,234328.67,194.68021464083176,235880.14553169312,28.66,41.12,97.55
S002,P0002,92,8475,8053.9463069521735,248303.16,175165.27822990282,169356.7879012737,444.97412835006594,450.0,11773.924418696362,66277.48,324.6837072924385,73137.88641343269,29.46,38.93,95.03
S002,P0003,92,9484,9365.143529565217,719149.37,522645.2475262108,505386.1715479499,664.6350320000956,850.0,8528.248894871751,203720.32,188.9973388180529,196504.12410910212,27.32,40.19,98.75
S002,P0004,92,10688,10231.890503130435,424828.09,295338.40342760837,285278.497688478,512.8116303029245,650.0,16926.90759307487,121459.88,281.94140246077507,129489.69026236725,30.48,42.4,95.73
S002,P0005,92,9096,8831.828268652174,762495.89,533314.3659166958,516938.2897672979,854.6943318144376,1120.0,20509.896964248208,223073.01,224.61729123156894,229181.52765738964,30.06,42.99,97.1
S002,P0006,92,10805,10577.08827652174,681746.22,471706.40586804,456247.66630065,570.1701387415654,720.0,13068.230312520012,211140.16,202.89149946786384,210039.81899516872,30.81,46.15,97.89
S002,P0007,92,8317,7944.33496673913,200713.62,144948.3636356388,140693.45564005547,387.9675982527954,450.0,8742.162682750111,50440.04,337.4463348610585,55765.25929902535,27.78,35.64,95.52
S002,P0008,92,10494,9844.537797173913,246704.12,176000.64673787518,169882.87286830996,388.4487590666898,500.0,14928.538194160441,61004.26,344.8099852121928,70703.47045930309,28.66,35.72,93.81
S002,P0009,92,11250,10784.728095086957,644603.2,461678.03265852993,445973.8274954865,661.929237032294,750.0,25608.333010461465,171609.11,245.38419230718338,182925.1655848174,28.38,38.36,95.86
S002,P0010,92,11426,11202.261332521739,1006243.12,690961.0801206072,667979.7303488681,786.7668665284789,950.0,17743.259416362245,318783.37,202.42456042438565,315282.04407315794,31.33,47.6,98.04
S002,P0011,92,10132,10132.0,937767.26,669912.642,651564.6633038339,875.3363084654557,1000.0,0.0,284327.26,210.09561067391294,267854.618,28.56,43.51,100.0
S002,P0012,92,8500,7978.173913043478,509605.86,355020.7609565217,345130.09420125594,789.8676026949983,880.0,29855.23591304349,132950.66,281.6884746639886,154585.09773913043,30.33,38.34,93.86
S002,P0013,92,10151,9250.314944065218,195089.14,143329.0049008185,138200.1569823402,402.30733534134026,400.0,17942.997341804774,38143.68,412.045725620983,51760.13726951694,26.53,27.44,91.13
S002,P0014,92,8100,8088.481479782608,912825.58,649141.0811599533,629063.4444139849,1012.5876469740306,1200.0,1188.5385086315348,280361.01,200.22834343005675,263684.49624091305,28.89,44.41,99.86
