Store ID,Product ID,Total_Days,Total_Demand,Total_Sales,Total_Revenue,Total_COGS,Total_Purchase_Spend,Total_Holding_Cost,Total_Order_Fixed_Cost,Total_Stockout_Penalty,Total_Net_Profit,Avg_Inventory,Gross_Profit,Gross_Margin_%,ROI_%,Service_Level_%
S001,P0001,92,8922,8897.695652173912,592853.46,413969.7390652174,404725.3245,525.2310525312685,2640.0,1453.849630434785,183509.06,179.1531190926276,178883.72223913047,30.17,44.99,99.73
S001,P0002,92,10796,10695.173913043478,704170.25,500817.56123913045,496969.64450000005,534.4259080553893,2120.0,6070.284978260872,198475.9,181.11767485822304,203352.68919565226,28.88,39.73,99.07
S001,P0003,92,12188,12090.271739130434,686183.37,465940.93741847825,456796.8405,538.2831705293323,1920.0,4842.386461956524,222085.86,221.65678166351606,220242.43513586948,32.1,48.36,99.2
S001,P0004,92,8847,8794.467391304348,893122.14,616135.988201087,608606.8765,767.7096225655137,2560.0,4731.9535271739205,276455.6,173.89815689981094,276986.1477228261,31.01,45.18,99.41
S001,P0005,92,10610,10541.380434782608,622415.81,434473.536,431036.928,550.6625753424645,1650.0,3636.2879999999973,185541.93,212.0238657844991,187942.27177173918,30.2,42.83,99.35
S001,P0006,92,7942,7853.45652173913,293248.07,207665.024076087,204479.85250000004,355.0594641899938,1550.0,3010.2569021739137,83852.9,213.09026465028356,85583.04244565219,29.18,40.63,98.89
S001,P0007,92,10376,10352.641304347826,244374.1,176678.1765,172759.118,261.64482773972577,1550.0,512.536500000002,69290.8,243.30186672967866,67695.92148913044,27.7,39.69,99.77
S001,P0008,92,8797,8717.228260869566,371920.54,254577.93413043476,252176.53999999998,314.41676054198774,2960.0,2995.269260869566,113474.32,170.85526937618147,117342.60961956525,31.55,44.42,99.09
S001,P0009,92,12862,12645.858695652174,1180237.99,790846.7111086956,790793.01,1095.5799052709929,2080.0,17379.05771739131,368890.34,278.01299621928166,389391.280956522,32.99,46.46,98.32
S001,P0010,92,7161,7131.565217391304,867911.49,590914.362347826,582001.6159999999,698.2585669743883,2450.0,3135.7756956521725,279625.84,133.73393194706995,276997.12460869574,31.92,47.79,99.59
S001,P0011,92,6902,6831.239130434783,1039680.44,721296.8773043478,717259.284,1002.1678434782598,2150.0,9606.212608695652,309662.78,150.62287334593574,318383.56215217384,30.62,42.98,98.97
S001,P0012,92,10673,10633.880434782608,885536.39,610012.5511413043,597341.745,723.0270591870151,2150.0,2885.263532608693,282436.36,200.01961247637053,275523.84206521744,31.11,47.06,99.63
S001,P0013,92,7957,7879.858695652174,242345.05,168896.8912826087,165727.68800000002,290.1693175402021,1400.0,2125.860065217392,72801.34,214.83908317580338,73448.16290217394,30.31,43.48,99.03
S001,P0014,92,10107,10063.521739130434,705855.41,508997.8342826086,502952.60399999993,616.3317072364488,2150.0,2827.36956521739,197309.11,193.38090737240074,196857.58050000016,27.89,39.02,99.57
